mode,state,ratioD,ratioR
president,CO,0.976821,1.022061
president,NE,0.679858,1.304696
president,DE,1.103917,0.901096
president,CT,1.133518,0.872924
president,CA,1.128727,0.877483
president,AZ,0.917171,1.078833
president,WV,0.892466,1.102346
president,WA,1.100124,0.904706
president,TN,0.877994,1.116120
president,NC,0.897342,1.097706
president,NY,1.226924,0.784024
president,NJ,1.094464,0.910093
president,MT,0.810021,1.180813
president,MN,1.061456,0.941509
president,LA,0.875010,1.118960
president,FL,0.973592,1.025134
president,WY,0.608795,1.372332
president,MA,1.286662,0.727168
president,VA,0.940576,1.056557
president,NH,1.039501,0.962405
president,DC,1.856291,0.185021
president,AK,0.754115,1.234022
president,GA,0.854026,1.138932
president,AL,0.760852,1.227611
president,ID,0.629096,1.353010
president,MS,0.821826,1.169578
president,OK,0.706044,1.279774
president,MD,1.159985,0.847734
president,ND,0.740107,1.247354
president,AR,0.924128,1.072211
president,WI,1.029278,0.972134
president,VT,1.248399,0.763585
president,UT,0.546582,1.431543
president,TX,0.789307,1.200528
president,SD,0.801547,1.188878
president,SC,0.848261,1.144419
president,RI,1.242257,0.769431
president,PA,1.051149,0.951319
president,OR,1.068587,0.934722
president,OH,1.003634,0.996542
president,NM,1.017135,0.983691
president,NV,0.998325,1.001594
president,MO,0.951116,1.046526
president,MI,1.060737,0.942193
president,ME,1.119329,0.886428
president,KY,0.820120,1.171202
president,KS,0.761481,1.227012
president,IA,1.018441,0.982449
president,IN,0.811592,1.179318
president,IL,1.132158,0.874218
president,HI,1.115667,0.889914
senate,IA,0.543471,1.500735
senate,KS,0.543692,1.500491
senate,WA,1.075633,0.917044
senate,UT,0.559002,1.483700
senate,WI,1.063867,0.929949
senate,SD,0.944844,1.060496
senate,SC,0.862338,1.150992
senate,PA,0.848454,1.166220
senate,OK,0.838724,1.176892
senate,OH,0.691031,1.338886
senate,ND,1.305320,0.665116
senate,NC,0.911494,1.097076
senate,NY,1.394799,0.566973
senate,NH,0.645250,1.389100
senate,NV,1.213592,0.765726
senate,MO,0.827347,1.189371
senate,MD,1.257371,0.717708
senate,KY,0.943303,1.062187
senate,AK,0.925066,1.082190
senate,AR,1.068958,0.924365
senate,CA,1.155125,0.829854
senate,CO,1.002460,0.997302
senate,CT,1.288036,0.684074
senate,FL,0.944981,1.060347
senate,GA,0.781023,1.240180
senate,IL,1.378734,0.584594
senate,IN,1.191974,0.789437
senate,OR,1.273810,0.699677
senate,ID,0.000000,2.096829
senate,HI,1.495931,0.456049
senate,AZ,0.404897,1.652727
senate,AL,0.619147,1.417731
senate,VT,1.424217,0.534707
governor,VT,0.789781,1.212987
governor,ND,0.551755,1.454148
governor,MT,1.038990,0.960497
governor,MO,0.963526,1.036955
governor,DE,1.045747,0.953651
governor,WV,1.294098,0.702029
governor,WA,0.993548,1.006537
governor,NC,1.121988,0.876405
governor,NH,1.014851,0.984953
governor,UT,0.829110,1.173140
governor,IN,0.915802,1.085306
house,CO,1.024479,0.976584
house,AR,1.112088,0.892781
house,NE,0.632693,1.351353
house,IL,1.106142,0.898468
house,NJ,1.087998,0.915825
house,NC,1.024005,0.977038
house,MS,0.689094,1.297401
house,MO,0.930243,1.066727
house,MN,1.086157,0.917585
house,MI,1.012286,0.988248
house,MD,1.214806,0.794525
house,MA,1.688631,0.341281
house,KY,0.760443,1.229151
house,KS,0.712584,1.274932
house,IN,0.858345,1.135502
house,ID,0.611237,1.371877
house,IA,0.882766,1.112142
house,GA,0.788177,1.202622
house,FL,0.818044,1.174052
house,CA,1.131102,0.874593
house,WI,1.018136,0.982652
house,AL,0.810376,1.181387
house,AK,0.489471,1.488353
house,WV,1.182642,0.825291
house,WA,1.216811,0.792606
house,VA,0.736756,1.251809
house,TX,0.825269,1.167141
house,TN,0.962604,1.035772
house,SC,0.710928,1.276515
house,PA,1.005095,0.995126
house,OR,1.136210,0.869707
house,OK,0.629497,1.354409
house,OH,0.995872,1.003949
house,NY,1.247920,0.762849
house,AZ,0.708465,1.278871
house,NV,0.905070,1.090806
house,NH,0.778805,1.211586
house,UT,0.838607,1.154383
house,HI,1.305447,0.707821
house,CT,1.135266,0.870610
house,ME,1.219741,0.789803
house,NM,1.060015,0.942592
house,DE,0.614831,1.368438
house,RI,1.456418,0.563407
house,ND,1.218306,0.791176
house,SD,1.099446,0.904874
house,MT,0.689915,1.296616
house,VT,1.541929,0.481611
house,WY,0.881180,1.113658
