mode,state,ratioD,ratioR
president,IA,0.878307,1.127487
president,MT,0.760132,1.251288
president,NY,1.239411,0.749190
president,OH,0.893862,1.111191
president,WV,0.544127,1.477578
president,WY,0.474852,1.550150
president,KS,0.760097,1.251325
president,ME,1.008486,0.991109
president,MS,0.799611,1.209930
president,TN,0.710981,1.302779
president,UT,0.735246,1.277359
president,NH,0.981127,1.019771
president,NV,1.002563,0.997315
president,AZ,0.940335,1.062506
president,CA,1.292511,0.693562
president,CO,1.029724,0.968861
president,FL,0.965181,1.036477
president,HI,1.318177,0.666675
president,DE,1.094523,0.900977
president,MA,1.263643,0.723804
president,AL,0.696326,1.318132
president,NM,1.068179,0.928575
president,OK,0.599955,1.419091
president,AK,0.813374,1.195511
president,CT,1.116862,0.877574
president,VT,1.274103,0.712847
president,SC,0.831462,1.176563
president,MN,0.993532,1.006776
president,RI,1.139950,0.853386
president,NJ,1.119650,0.874654
president,NC,0.940067,1.062787
president,NE,0.712480,1.301209
president,DC,1.870413,0.088146
president,PA,0.969936,1.031495
president,TX,0.885154,1.120314
president,WI,0.969302,1.032160
president,AR,0.698066,1.316310
president,MO,0.785367,1.224851
president,WA,1.149022,0.843883
president,MI,0.974976,1.026215
president,MD,1.251231,0.736807
president,KY,0.670986,1.344679
president,IL,1.153578,0.839110
president,ND,0.590094,1.429422
president,GA,0.925262,1.078296
president,ID,0.619394,1.398727
president,IN,0.779528,1.230969
president,LA,0.778466,1.232082
president,OR,1.097595,0.897758
president,SD,0.665098,1.350847
president,VA,1.032519,0.965932
senate,VT,1.158141,0.797900
senate,WA,1.051900,0.933674
senate,WI,0.860349,1.178471
senate,AK,0.370097,1.805001
senate,AZ,0.768949,1.295278
senate,AR,0.672010,1.419164
senate,CA,1.782488,0.000000
senate,CO,0.944798,1.070547
senate,CT,1.113933,0.854397
senate,FL,0.820290,1.229664
senate,GA,0.763343,1.302442
senate,HI,1.368837,0.528635
senate,ID,0.526549,1.605059
senate,IL,1.033264,0.957489
senate,IN,0.799790,1.255863
senate,IA,0.663794,1.429664
senate,KS,0.608643,1.500144
senate,KY,0.761576,1.304700
senate,MD,1.123952,0.841592
senate,MO,0.865206,1.172264
senate,NV,0.914829,1.108847
senate,NH,0.892523,1.137352
senate,NY,1.310329,0.603407
senate,NC,0.838597,1.206269
senate,ND,0.316885,1.873004
senate,OH,0.695824,1.388730
senate,OK,0.474570,1.671486
senate,OR,1.121645,0.844541
senate,PA,0.877961,1.155963
senate,SC,0.645292,1.453309
senate,SD,0.502165,1.636221
senate,UT,0.506601,1.630552
senate,AL,0.640443,1.459504
governor,MO,0.973038,1.025317
governor,WV,1.109100,0.897553
governor,VT,0.939488,1.056822
governor,UT,0.621576,1.355348
governor,WA,1.123113,0.884394
governor,NC,1.034772,0.967348
governor,ND,0.417498,1.546982
governor,NH,1.007911,0.992571
governor,MT,1.074054,0.930462
governor,IN,0.968985,1.029124
governor,DE,1.235236,0.779109
house,AL,0.678468,1.317840
house,AZ,0.905322,1.093591
house,CA,1.303806,0.699683
house,CT,1.250379,0.752496
house,DE,1.157608,0.844202
house,FL,0.919450,1.079625
house,OH,0.841479,1.156700
house,GA,0.799354,1.198342
house,HI,1.583026,0.423669
house,IL,1.085589,0.915393
house,OK,0.564893,1.430111
house,IN,0.848608,1.149653
house,IA,0.911672,1.087314
house,KY,0.589114,1.406168
house,MD,1.266760,0.736304
house,MA,1.687010,0.320879
house,MI,0.994606,1.005332
house,MN,1.042085,0.958398
house,MS,0.800401,1.197307
house,MO,0.792900,1.204722
house,NE,0.571142,1.423934
house,NV,1.015813,0.984369
house,NJ,1.089541,0.911487
house,NM,1.126765,0.874691
house,NY,1.332659,0.671161
house,NH,1.037333,0.963095
house,SD,0.722114,1.274695
house,WI,1.047447,0.953098
house,TX,0.790952,1.206648
house,VA,1.010268,0.989850
house,SC,0.793921,1.203712
house,TN,0.709652,1.287014
house,RI,1.309607,0.693948
house,ME,1.045252,0.955267
house,OR,1.175159,0.826852
house,AR,0.256936,1.734531
house,CO,0.996025,1.003930
house,ID,0.640348,1.355522
house,MT,0.843170,1.155029
house,PA,0.922939,1.076177
house,KS,0.631461,1.364307
house,NC,0.939047,1.060254
house,AK,0.839240,1.158914
house,WV,0.674426,1.321836
house,UT,0.671757,1.324474
house,VT,2.011616,0.000000
house,WA,1.111881,0.889404
house,WY,0.655359,1.340684
house,ND,0.514344,1.480079
