GEOID,hispanic,total,h_share
09002,17691,99945,0.177007
09003,22962,102233,0.224605
09004,13332,102626,0.129909
09005,10982,97195,0.112989
09006,34056,97434,0.349529
09007,8335,95257,0.0875
09008,8867,98285,0.090217
09009,8987,95787,0.093823
09010,24848,87730,0.283233
09011,26428,100885,0.261962
09012,3164,71535,0.04423
09013,25985,107074,0.242683
09014,8891,69026,0.128807
09015,33090,104975,0.315218
09016,13935,102037,0.136568
09017,18843,96793,0.194673
09018,7392,99308,0.074435
09019,9626,98388,0.097837
09020,11278,96191,0.117246
09021,12077,104970,0.115052
09022,16602,99600,0.166687
09023,33605,72689,0.462312
09024,28145,98420,0.285968
09025,28686,102473,0.279937
09026,10741,98592,0.108944
09027,33657,106568,0.315827
09028,6862,104618,0.065591
09029,15883,107335,0.147976
09030,10315,105873,0.097428
09031,16459,101403,0.162313
09032,9065,99056,0.091514
09033,4903,96129,0.051004
09034,10066,86824,0.115936
09035,8503,97427,0.087276
09036,12135,102105,0.118848
09ZZZ,14911,109703,0.135922
10001,2042,46238,0.044163
10002,6124,43664,0.140253
10003,7821,42029,0.186086
10004,1914,43233,0.044272
10005,2018,45773,0.044087
10006,1674,50995,0.032827
10007,7659,44650,0.171534
10008,4115,45308,0.090823
10009,7211,47080,0.153165
10010,2702,46866,0.057654
10011,7698,49754,0.154721
10012,2814,52773,0.053323
10013,8222,45551,0.180501
10014,3057,37852,0.080762
10015,4144,65394,0.06337
10016,4633,49506,0.093585
10017,3228,42662,0.075665
10018,7040,49687,0.141687
10019,7236,47579,0.152084
10020,1744,41992,0.041532
10021,5600,55049,0.101728
12001,33482,536224,0.06244
12002,42213,548706,0.076932
12003,39071,543724,0.071858
12004,56650,560533,0.101065
12005,57729,526713,0.109602
12006,50144,537884,0.093225
12007,50712,549902,0.09222
12008,84273,543978,0.15492
12009,73706,542199,0.135939
12010,117916,535170,0.220334
12011,54900,540871,0.101503
12012,146357,532109,0.275051
12013,95613,530462,0.180245
12014,189640,547000,0.346691
12015,147345,555624,0.265188
12016,124372,520733,0.23884
12017,213973,535462,0.399604
12018,58838,539494,0.109061
12019,64919,545204,0.119073
12020,107801,552658,0.195059
12021,67328,533145,0.126285
12022,60845,540278,0.112618
12023,135296,551597,0.245281
12024,184574,543035,0.339893
12025,291259,522580,0.557348
12026,95108,548320,0.173453
12027,115444,566501,0.203784
12028,172343,549858,0.313432
12029,97847,540495,0.181032
12030,129790,538018,0.241237
12031,96977,541224,0.179181
12032,129110,542870,0.237829
12033,106628,530472,0.201006
12034,198942,542350,0.366815
12035,239163,542333,0.440989
12036,429503,534938,0.802902
12037,177488,534271,0.332206
12038,346518,533042,0.650076
12039,475723,532528,0.89333
12040,378265,539643,0.700954
13001,17484,202036,0.086539
13002,13623,187702,0.072578
13003,12176,190250,0.064
