mode,state,ratioD,ratioR
president,AZ,0.872654,1.138013
president,CA,1.189635,0.794480
president,AK,0.820704,1.194315
president,ND,0.766946,1.252575
president,HI,1.378658,0.589625
president,IN,0.861367,1.150245
president,KY,0.739421,1.282405
president,RI,1.230857,0.749806
president,VA,0.999183,1.000886
president,IA,1.018255,0.980216
president,GA,0.885281,1.124329
president,CO,1.014192,0.984619
president,MD,1.217494,0.764288
president,LA,0.793179,1.224145
president,ID,0.645620,1.384064
president,MS,0.849802,1.162779
president,MA,1.187960,0.796296
president,NH,1.015840,0.982833
president,NV,1.026873,0.970876
president,NJ,1.133476,0.855344
president,WI,1.027947,0.969712
president,PA,1.013883,0.984954
president,SC,0.859293,1.152493
president,NM,1.063167,0.931542
president,WV,0.698438,1.326821
president,TN,0.762334,1.257573
president,WA,1.108026,0.882926
president,NE,0.747370,1.273792
president,OH,0.990466,1.010332
president,UT,0.487865,1.555033
president,AL,0.745700,1.275601
president,CT,1.130027,0.859082
president,MN,1.037134,0.959756
president,IL,1.126277,0.863146
president,ME,1.112479,0.878099
president,MI,1.053656,0.941850
president,MT,0.826108,1.188458
president,FL,0.969859,1.032666
president,DE,1.142993,0.845029
president,AR,0.727661,1.295150
president,DC,1.780193,0.154456
president,KS,0.747678,1.273457
president,NY,1.269810,0.707590
president,NC,0.941474,1.063428
president,OR,1.081932,0.911205
president,VT,1.312198,0.661652
president,WY,0.554498,1.482819
president,SD,0.784110,1.233973
president,TX,0.807387,1.208747
president,MO,0.869476,1.141457
president,OK,0.638872,1.391377
senate,VT,0.000000,2.277548
senate,WV,1.112743,0.855965
senate,WY,0.396693,1.770754
senate,MS,0.739890,1.332303
senate,DE,1.241537,0.691425
senate,TN,0.568818,1.550855
senate,CT,1.011547,0.985248
senate,FL,1.010331,0.986801
senate,IN,0.945843,1.069188
senate,MD,1.212476,0.728552
senate,MI,1.083070,0.893875
senate,MO,1.040373,0.948421
senate,NJ,1.068226,0.912838
senate,NM,0.944426,1.070999
senate,NY,1.327758,0.581274
senate,PA,0.973933,1.033301
senate,UT,0.560891,1.560983
senate,TX,0.746000,1.324498
senate,VA,0.944103,1.071411
senate,WA,1.077690,0.900748
senate,WI,0.942221,1.073815
senate,AZ,0.863099,1.174897
senate,CA,1.114651,0.853527
senate,HI,1.116029,0.851768
senate,ME,0.537197,1.591253
senate,MA,0.958713,1.052746
senate,MN,1.214396,0.726098
senate,MT,0.926843,1.093461
senate,NE,0.752776,1.315840
senate,NV,0.879957,1.153361
senate,ND,0.899560,1.128317
senate,OH,0.947442,1.067145
senate,RI,1.158008,0.798137
governor,DE,1.443851,0.572874
governor,VT,1.236058,0.772837
governor,WV,1.070939,0.931734
governor,IN,0.988520,1.011048
governor,WA,1.050971,0.950950
governor,ND,0.718299,1.271086
governor,NC,0.900855,1.095410
governor,UT,0.585910,1.398486
governor,NH,1.146516,0.859005
governor,MT,1.036167,0.965196
governor,MO,1.147794,0.857775
house,CO,0.953937,1.047779
house,CT,1.263314,0.726876
house,FL,0.922984,1.079886
house,GA,0.800935,1.206482
house,ID,0.665103,1.347375
house,IL,1.088322,0.908387
house,IN,0.899673,1.104065
house,IA,1.012101,0.987448
house,KS,0.410030,1.611951
house,MD,1.285694,0.703662
house,MA,1.470883,0.511573
house,MI,1.035689,0.962981
house,MN,1.106266,0.889775
house,MS,0.724659,1.285600
house,MO,0.851248,1.154294
house,NV,0.977803,1.023025
house,NJ,1.092887,0.903653
house,NY,1.309701,0.678760
house,NC,1.000346,0.999641
house,OH,0.941482,1.060699
house,OK,0.635978,1.377585
house,OR,1.139059,0.855760
house,PA,0.996934,1.003181
house,WA,1.069320,0.928097
house,TN,0.722235,1.288114
house,TX,0.785161,1.222843
house,WI,0.996879,1.003237
house,VA,0.963178,1.038194
house,SC,0.806017,1.201210
house,RI,1.158121,0.835988
house,NH,1.026117,0.972910
house,ME,1.211112,0.781022
house,HI,1.324797,0.663101
house,KY,0.785418,1.222577
house,UT,0.655195,1.357652
house,SD,0.835721,1.170400
house,NM,1.083290,0.913607
house,NE,0.702324,1.308767
house,MT,0.874263,1.130422
house,CA,1.217832,0.774052
house,AZ,0.894795,1.109125
house,AR,0.635205,1.378386
house,AL,0.706798,1.304126
house,ND,0.847926,1.157740
house,VT,1.483677,0.498302
house,WY,0.504756,1.513696
house,WV,0.787345,1.220578
house,AK,0.607238,1.407395
house,DE,1.292866,0.696222
