code,h_cd
FL-01,0.0669
FL-02,0.0642
FL-03,0.1114
FL-04,0.0765
FL-05,0.1028
FL-06,0.1628
FL-07,0.1368
FL-08,0.2014
FL-09,0.4423
FL-10,0.2941
FL-11,0.1511
FL-12,0.1525
FL-13,0.1092
FL-14,0.2765
FL-15,0.2422
FL-16,0.1113
FL-17,0.1042
FL-18,0.1600
FL-19,0.1935
FL-20,0.2279
FL-21,0.1571
FL-22,0.2605
FL-23,0.2562
FL-24,0.3861
FL-25,0.3167
FL-26,0.7947
FL-27,0.7385
FL-28,0.7140
