mode,state,ratioD,ratioR
senate,HI,1.647903,0.423100
senate,MO,0.909309,1.080752
senate,UT,0.737251,1.233955
senate,AK,0.844889,1.138113
senate,OR,1.259329,0.769091
senate,AR,0.826979,1.154060
senate,IA,0.724027,1.245729
senate,MD,1.348090,0.690057
senate,NC,0.933910,1.058847
senate,VT,1.433973,0.613586
senate,WI,1.009602,0.991450
senate,SC,0.658576,1.304008
senate,NV,1.125813,0.887975
senate,NY,1.509250,0.546559
senate,IL,1.043568,0.961206
senate,CT,1.164334,0.853675
senate,FL,0.620644,1.337783
senate,KS,0.580512,1.373516
senate,LA,0.848834,1.134600
senate,OK,0.573348,1.379896
senate,AL,0.737767,1.233495
senate,SD,0.000000,1.890411
senate,OH,0.869167,1.116495
senate,CA,1.174161,0.844925
senate,AZ,0.786721,1.189906
senate,CO,1.079836,0.928913
senate,GA,0.850894,1.132765
senate,ID,0.550695,1.400066
senate,IN,0.897896,1.090915
senate,KY,0.939664,1.053724
senate,NH,0.807035,1.171818
senate,ND,0.479141,1.463778
senate,PA,1.040128,0.964270
senate,WA,1.111746,0.900500
governor,AL,0.845733,1.152924
governor,AK,0.782310,1.215795
governor,VT,1.022920,0.977280
governor,ME,0.552869,1.443239
governor,IA,0.903982,1.095183
governor,HI,1.177269,0.824274
governor,AR,1.319755,0.683027
governor,CO,1.648909,0.356739
governor,NY,1.344309,0.658688
governor,SC,0.958779,1.040862
governor,IL,1.013634,0.986484
governor,NH,1.082608,0.918111
governor,MD,1.152539,0.848789
governor,MN,1.009204,0.990876
governor,OR,1.020221,0.979955
governor,WI,0.945707,1.053821
governor,NV,0.880149,1.118808
governor,MA,1.075672,0.924986
governor,CA,1.141113,0.860115
governor,TX,0.873532,1.125367
governor,RI,0.817745,1.180669
governor,FL,0.992449,1.007486
governor,CT,0.986246,1.013634
governor,AZ,0.881308,1.117659
governor,TN,0.677330,1.319862
governor,GA,0.899265,1.099858
governor,ID,0.717664,1.279879
governor,KS,0.677596,1.319599
governor,MI,0.817779,1.180635
governor,NM,0.936625,1.062824
governor,OH,0.983460,1.016396
governor,OK,0.794493,1.203718
governor,PA,0.914223,1.085031
governor,SD,0.773127,1.224899
governor,WY,0.520055,1.475768
governor,NE,0.524201,1.471658
house,IA,0.951881,1.042324
house,OR,1.127139,0.888172
house,MD,1.326700,0.712643
house,MI,0.979678,1.017874
house,NY,1.319031,0.719388
house,WI,0.953171,1.041190
house,IL,1.114894,0.898943
house,PA,1.027005,0.976248
house,UT,0.765509,1.206252
house,CO,1.015742,0.986154
house,AZ,0.943429,1.049758
house,CT,1.241467,0.787612
house,FL,0.815383,1.162384
house,ID,0.777712,1.195518
house,IN,0.878835,1.106573
house,KS,0.731682,1.236005
house,NJ,1.052755,0.953598
house,ND,0.963304,1.032276
house,OH,0.939584,1.053141
house,WA,1.139347,0.877434
house,VA,0.928364,1.063009
house,TX,0.687357,1.274992
house,TN,0.773215,1.199474
house,SD,1.043146,0.962050
house,RI,1.269258,0.763168
house,NC,0.973032,1.023720
house,NM,1.102269,0.910047
house,NH,0.994796,1.004577
house,NE,0.631301,1.324297
house,MA,1.331297,0.708600
house,ME,1.197178,0.826568
house,KY,0.801044,1.174996
house,DE,1.240352,0.788593
house,CA,1.177465,0.843907
house,AR,0.901896,1.086290
house,MN,1.085402,0.924883
house,NV,1.005898,0.994812
house,MO,0.835327,1.144842
house,MS,0.967881,1.028251
house,GA,0.814037,1.163568
house,OK,0.639656,1.316949
house,SC,0.889223,1.097436
house,AL,0.671422,1.289008
house,VT,1.428320,0.623261
house,HI,1.360856,0.682601
house,WV,0.952967,1.041369
house,AK,0.655510,1.303004
house,WY,0.551220,1.394735
house,MT,0.767276,1.204698
