mode,state,ratioD,ratioR
president,AL,0.844210,1.188908
president,AK,0.722055,1.337033
president,AZ,0.934672,1.079216
president,AR,1.083001,0.899354
president,CA,1.044016,0.946627
president,CO,0.898489,1.123091
president,CT,1.101443,0.876992
president,DE,1.069696,0.915487
president,DC,1.644470,0.218525
president,FL,0.969910,1.036487
president,GA,0.900805,1.120283
president,HI,1.172836,0.790421
president,ID,0.715294,1.345231
president,IL,1.087604,0.893772
president,IN,0.854893,1.175954
president,IA,1.016958,0.979437
president,KS,0.728553,1.329153
president,KY,0.921995,1.094587
president,LA,1.032056,0.961129
president,ME,1.143385,0.826133
president,MD,1.069966,0.915161
president,MA,1.252423,0.693915
president,MI,1.045989,0.944234
president,MN,1.083510,0.898737
president,MS,0.862214,1.167078
president,MO,0.977064,1.027812
president,MT,0.881552,1.143629
president,NE,0.719750,1.339828
president,NV,0.923044,1.093316
president,NH,1.014736,0.982131
president,NJ,1.094204,0.885769
president,NM,0.985769,1.017256
president,NY,1.235895,0.713957
president,NC,0.866178,1.162271
president,ND,0.840973,1.192834
president,OH,0.977975,1.026708
president,OK,0.832045,1.203660
president,OR,0.997976,1.002454
president,PA,1.006517,0.992097
president,RI,1.259109,0.685809
president,SC,0.855558,1.175148
president,SD,0.877060,1.149075
president,TN,0.935819,1.077825
president,TX,0.863794,1.165162
president,UT,0.693024,1.372235
president,VT,1.152887,0.814612
president,VA,0.892989,1.129760
president,WA,1.043621,0.947105
president,WV,1.064788,0.921439
president,WI,1.020348,0.975326
president,WY,0.775711,1.271970
senate,AL,0.844210,1.188908
senate,AK,0.722055,1.337033
senate,AZ,0.934672,1.079216
senate,AR,1.083001,0.899354
senate,CA,1.044016,0.946627
senate,CO,0.898489,1.123091
senate,CT,1.101443,0.876992
senate,DE,1.069696,0.915487
senate,DC,1.644470,0.218525
senate,FL,0.969910,1.036487
senate,GA,0.900805,1.120283
senate,HI,1.172836,0.790421
senate,ID,0.715294,1.345231
senate,IL,1.087604,0.893772
senate,IN,0.854893,1.175954
senate,IA,1.016958,0.979437
senate,KS,0.728553,1.329153
senate,KY,0.921995,1.094587
senate,LA,1.032056,0.961129
senate,ME,1.143385,0.826133
senate,MD,1.069966,0.915161
senate,MA,1.252423,0.693915
senate,MI,1.045989,0.944234
senate,MN,1.083510,0.898737
senate,MS,0.862214,1.167078
senate,MO,0.977064,1.027812
senate,MT,0.881552,1.143629
senate,NE,0.719750,1.339828
senate,NV,0.923044,1.093316
senate,NH,1.014736,0.982131
senate,NJ,1.094204,0.885769
senate,NM,0.985769,1.017256
senate,NY,1.235895,0.713957
senate,NC,0.866178,1.162271
senate,ND,0.840973,1.192834
senate,OH,0.977975,1.026708
senate,OK,0.832045,1.203660
senate,OR,0.997976,1.002454
senate,PA,1.006517,0.992097
senate,RI,1.259109,0.685809
senate,SC,0.855558,1.175148
senate,SD,0.877060,1.149075
senate,TN,0.935819,1.077825
senate,TX,0.863794,1.165162
senate,UT,0.693024,1.372235
senate,VT,1.152887,0.814612
senate,VA,0.892989,1.129760
senate,WA,1.043621,0.947105
senate,WV,1.064788,0.921439
senate,WI,1.020348,0.975326
senate,WY,0.775711,1.271970
governor,AL,0.844210,1.188908
governor,AK,0.722055,1.337033
governor,AZ,0.934672,1.079216
governor,AR,1.083001,0.899354
governor,CA,1.044016,0.946627
governor,CO,0.898489,1.123091
governor,CT,1.101443,0.876992
governor,DE,1.069696,0.915487
governor,DC,1.644470,0.218525
governor,FL,0.969910,1.036487
governor,GA,0.900805,1.120283
governor,HI,1.172836,0.790421
governor,ID,0.715294,1.345231
governor,IL,1.087604,0.893772
governor,IN,0.854893,1.175954
governor,IA,1.016958,0.979437
governor,KS,0.728553,1.329153
governor,KY,0.921995,1.094587
governor,LA,1.032056,0.961129
governor,ME,1.143385,0.826133
governor,MD,1.069966,0.915161
governor,MA,1.252423,0.693915
governor,MI,1.045989,0.944234
governor,MN,1.083510,0.898737
governor,MS,0.862214,1.167078
governor,MO,0.977064,1.027812
governor,MT,0.881552,1.143629
governor,NE,0.719750,1.339828
governor,NV,0.923044,1.093316
governor,NH,1.014736,0.982131
governor,NJ,1.094204,0.885769
governor,NM,0.985769,1.017256
governor,NY,1.235895,0.713957
governor,NC,0.866178,1.162271
governor,ND,0.840973,1.192834
governor,OH,0.977975,1.026708
governor,OK,0.832045,1.203660
governor,OR,0.997976,1.002454
governor,PA,1.006517,0.992097
governor,RI,1.259109,0.685809
governor,SC,0.855558,1.175148
governor,SD,0.877060,1.149075
governor,TN,0.935819,1.077825
governor,TX,0.863794,1.165162
governor,UT,0.693024,1.372235
governor,VT,1.152887,0.814612
governor,VA,0.892989,1.129760
governor,WA,1.043621,0.947105
governor,WV,1.064788,0.921439
governor,WI,1.020348,0.975326
governor,WY,0.775711,1.271970
