mode,state,date,dem,rep,pollster,sigma
governor,DE,2000-10-04,46.0,38.0,Mason-Dixon Polling & Strategy,3
governor,DE,2000-10-09,57.0,41.0,SurveyUSA,3
governor,DE,2000-10-23,55.0,41.0,SurveyUSA,3
governor,DE,2000-10-31,48.0,36.0,Mason-Dixon Polling & Strategy,3
governor,IN,2000-10-27,49.0,33.0,Market Shares Corp.,3
governor,IN,2000-11-01,50.0,44.0,SurveyUSA,3
governor,IN,2000-11-03,54.0,42.0,Harris Insights & Analytics,3
governor,MO,2000-10-23,45.0,43.0,Mason-Dixon Polling & Strategy,3
governor,MO,2000-10-24,41.0,40.0,Zogby Analytics,3
governor,MO,2000-10-27,43.0,41.0,Zogby Analytics,3
governor,MO,2000-10-30,41.0,45.0,Zogby Analytics,3
governor,MO,2000-11-02,43.0,42.0,Zogby Analytics,3
governor,MO,2000-11-03,47.0,49.0,Harris Insights & Analytics,3
governor,MO,2000-11-05,45.0,44.0,Zogby Analytics,3
governor,MT,2000-09-22,41.0,43.0,Mason-Dixon Polling & Strategy,3
governor,MT,2000-10-23,46.0,44.0,Mason-Dixon Polling & Strategy,3
governor,NC,2000-10-07,47.0,42.0,SurveyUSA,3
governor,NC,2000-10-07,50.0,37.0,Mason-Dixon Polling & Strategy,3
governor,NC,2000-10-28,46.0,45.0,SurveyUSA,3
governor,NC,2000-10-29,48.0,41.0,Mason-Dixon Polling & Strategy,3
governor,NC,2000-11-03,53.0,43.0,Harris Insights & Analytics,3
governor,NC,2000-11-04,47.0,46.0,SurveyUSA,3
governor,NH,2000-09-09,49.0,36.0,University of New Hampshire Survey Center,3
governor,NH,2000-09-19,46.0,44.0,American Research Group,3
governor,NH,2000-10-07,50.0,36.0,American Research Group,3
governor,NH,2000-10-09,49.0,30.0,University of New Hampshire Survey Center,3
governor,NH,2000-11-01,43.0,44.0,American Research Group,3
governor,NH,2000-11-03,43.0,37.0,University of New Hampshire Survey Center,3
governor,NH,2000-11-03,48.0,40.0,Harris Insights & Analytics,3
governor,UT,2000-09-11,36.0,52.0,Dan Jones & Associates,3
governor,UT,2000-10-11,37.0,52.0,Dan Jones & Associates,3
governor,UT,2000-11-03,41.0,55.0,Harris Insights & Analytics,3
governor,VT,2000-10-19,48.0,39.0,Mason-Dixon Polling & Strategy,3
governor,WA,2000-09-19,57.0,31.0,Elway Research,3
governor,WA,2000-09-20,57.0,39.0,SurveyUSA,3
governor,WA,2000-10-01,59.0,37.0,SurveyUSA,3
governor,WA,2000-10-19,56.0,31.0,Elway Research,3
governor,WA,2000-10-31,55.0,40.0,SurveyUSA,3
governor,WA,2000-11-03,56.0,43.0,Harris Insights & Analytics,3
governor,WV,2000-11-03,49.0,45.0,Harris Insights & Analytics,3
president,AK,2000-09-13,26.0,47.0,American Research Group,3
president,AK,2000-11-03,31.0,54.0,Harris Insights & Analytics,3
president,AL,2000-09-13,36.0,52.0,American Research Group,3
president,AL,2000-11-02,38.0,55.0,Mason-Dixon Polling & Strategy,3
president,AR,2000-09-13,43.0,44.0,American Research Group,3
president,AR,2000-09-27,43.0,45.0,Mason-Dixon Polling & Strategy,3
president,AR,2000-10-28,44.0,45.0,Mason-Dixon Polling & Strategy,3
president,AZ,2000-09-13,46.0,46.0,Harris Insights & Analytics,3
president,AZ,2000-09-13,39.0,43.0,American Research Group,3
president,AZ,2000-09-27,43.0,50.0,SurveyUSA,3
president,AZ,2000-10-29,42.0,52.0,SurveyUSA,3
president,AZ,2000-11-03,40.0,52.0,Harris Insights & Analytics,3
president,CA,2000-09-08,48.0,39.0,Public Policy Institute of California,3
president,CA,2000-09-13,50.0,41.0,Harris Insights & Analytics,3
president,CA,2000-09-13,50.0,36.0,American Research Group,3
president,CA,2000-09-26,52.0,39.0,SurveyUSA,3
president,CA,2000-10-03,50.0,37.0,Field Research Corp. (Field Poll),3
president,CA,2000-10-07,45.0,39.0,Zogby Analytics,3
president,CA,2000-10-10,48.0,40.0,SurveyUSA,3
president,CA,2000-10-15,44.0,39.0,Public Policy Institute of California,3
president,CA,2000-10-21,48.0,41.0,Los Angeles Times,3
president,CA,2000-10-24,47.0,43.0,SurveyUSA,3
president,CA,2000-10-29,47.0,40.0,Field Research Corp. (Field Poll),3
president,CA,2000-10-31,49.0,43.0,SurveyUSA,3
president,CA,2000-11-02,48.0,40.0,Zogby Analytics,3
president,CA,2000-11-03,46.0,41.0,Field Research Corp. (Field Poll),3
president,CA,2000-11-03,49.0,43.0,Harris Insights & Analytics,3
president,CA,2000-11-05,45.0,45.0,Zogby Analytics,3
president,CO,2000-09-13,43.0,47.0,Harris Insights & Analytics,3
president,CO,2000-09-13,41.0,43.0,American Research Group,3
president,CO,2000-09-27,35.0,44.0,Ciruli Associates,3
president,CO,2000-10-23,39.0,52.0,SurveyUSA,3
president,CO,2000-10-25,37.0,47.0,Ciruli Associates,3
president,CO,2000-10-29,37.0,46.0,Ciruli Associates,3
president,CO,2000-11-02,38.0,47.0,Ciruli Associates,3
president,CO,2000-11-03,43.0,48.0,Harris Insights & Analytics,3
president,CT,2000-09-13,53.0,37.0,Harris Insights & Analytics,3
president,CT,2000-09-13,49.0,33.0,American Research Group,3
president,CT,2000-09-15,52.0,33.0,Quinnipiac University,3
president,CT,2000-09-28,48.0,32.0,University of Connecticut,3
president,CT,2000-11-03,51.0,40.0,Harris Insights & Analytics,3
president,DC,2000-09-13,73.0,14.0,American Research Group,3
president,DE,2000-09-13,49.0,35.0,American Research Group,3
president,DE,2000-10-04,45.0,43.0,Mason-Dixon Polling & Strategy,3
president,DE,2000-10-09,53.0,40.0,SurveyUSA,3
president,DE,2000-10-23,49.0,45.0,SurveyUSA,3
president,DE,2000-10-31,42.0,46.0,Mason-Dixon Polling & Strategy,3
president,FL,2000-09-09,44.0,42.0,Fleming & Associates,3
president,FL,2000-09-09,41.0,41.0,University of Connecticut,3
president,FL,2000-09-10,43.0,45.0,Mason-Dixon Polling & Strategy,3
president,FL,2000-09-13,52.0,43.0,Harris Insights & Analytics,3
president,FL,2000-09-13,43.0,40.0,American Research Group,3
president,FL,2000-09-23,48.0,46.0,SurveyUSA,3
president,FL,2000-10-04,42.0,46.0,Tarrance Group,3
president,FL,2000-10-06,44.0,47.0,Mason-Dixon Polling & Strategy,3
president,FL,2000-10-14,45.0,48.0,SurveyUSA,3
president,FL,2000-10-14,47.0,45.0,American Research Group,3
president,FL,2000-10-20,41.0,46.0,Fleming & Associates,3
president,FL,2000-10-22,49.0,45.0,American Research Group,3
president,FL,2000-10-23,48.0,43.0,CBS News/The New York Times,3
president,FL,2000-10-27,49.0,42.0,Zogby Analytics,3
president,FL,2000-10-28,44.0,48.0,Los Angeles Times,3
president,FL,2000-10-30,48.0,41.0,Zogby Analytics,3
president,FL,2000-10-30,44.0,46.0,Mason-Dixon Polling & Strategy,3
president,FL,2000-10-31,49.0,44.0,American Research Group,3
president,FL,2000-11-01,50.0,45.0,SurveyUSA,3
president,FL,2000-11-02,46.0,45.0,Zogby Analytics,3
president,FL,2000-11-03,49.0,46.0,Harris Insights & Analytics,3
president,FL,2000-11-05,50.0,45.0,SurveyUSA,3
president,FL,2000-11-05,48.0,46.0,Zogby Analytics,3
president,GA,2000-09-13,47.0,48.0,Harris Insights & Analytics,3
president,GA,2000-09-13,41.0,46.0,American Research Group,3
president,GA,2000-10-13,40.0,48.0,Mason-Dixon Polling & Strategy,3
president,GA,2000-11-03,43.0,51.0,Harris Insights & Analytics,3
president,HI,2000-09-13,57.0,29.0,American Research Group,3
president,HI,2000-11-03,53.0,38.0,Harris Insights & Analytics,3
president,IA,2000-09-13,50.0,43.0,Harris Insights & Analytics,3
president,IA,2000-09-13,45.0,38.0,American Research Group,3
president,IA,2000-10-29,46.0,46.0,SurveyUSA,3
president,IA,2000-11-01,44.0,42.0,Selzer & Co.,3
president,IA,2000-11-03,50.0,44.0,Harris Insights & Analytics,3
