mode,state,ratioD,ratioR
president,AL,0.760806,1.227681
president,AK,0.754070,1.234093
president,AZ,0.917116,1.078894
president,AR,0.924073,1.072272
president,CA,1.128659,0.877533
president,CO,0.976763,1.022119
president,CT,1.133450,0.872973
president,DE,1.103851,0.901147
president,DC,1.856179,0.185032
president,FL,0.973534,1.025192
president,GA,0.853975,1.138997
president,HI,1.115600,0.889964
president,ID,0.629058,1.353087
president,IL,1.132090,0.874268
president,IN,0.811543,1.179386
president,IA,1.018380,0.982505
president,KS,0.761435,1.227082
president,KY,0.820071,1.171269
president,LA,0.874958,1.119023
president,ME,1.119262,0.886479
president,MD,1.159918,0.847779
president,MA,1.286585,0.727210
president,MI,1.060673,0.942247
president,MN,1.061392,0.941563
president,MS,0.830377,1.161458
president,MO,0.951059,1.046585
president,MT,0.809973,1.180881
president,NE,0.679818,1.304771
president,NV,0.998266,1.001651
president,NH,1.039439,0.962460
president,NJ,1.094399,0.910145
president,NM,1.017075,0.983747
president,NY,1.226850,0.784069
president,NC,0.897288,1.097768
president,ND,0.740063,1.247425
president,OH,1.003573,0.996599
president,OK,0.706002,1.279847
president,OR,1.068523,0.934776
president,PA,1.051086,0.951373
president,RI,1.242183,0.769474
president,SC,0.848187,1.144505
president,SD,0.801499,1.188946
president,TN,0.877941,1.116184
president,TX,0.789259,1.200597
president,UT,0.546549,1.431625
president,VT,1.236513,0.774871
president,VA,0.940520,1.056617
president,WA,1.100058,0.904758
president,WV,0.892413,1.102409
president,WI,1.029217,0.972190
president,WY,0.608758,1.372410
senate,AL,0.760806,1.227681
senate,AK,0.754070,1.234093
senate,AZ,0.917116,1.078894
senate,AR,0.924073,1.072272
senate,CA,1.128659,0.877533
senate,CO,0.976763,1.022119
senate,CT,1.133450,0.872973
senate,DE,1.103851,0.901147
senate,DC,1.856179,0.185032
senate,FL,0.973534,1.025192
senate,GA,0.853975,1.138997
senate,HI,1.115600,0.889964
senate,ID,0.629058,1.353087
senate,IL,1.132090,0.874268
senate,IN,0.811543,1.179386
senate,IA,1.018380,0.982505
senate,KS,0.761435,1.227082
senate,KY,0.820071,1.171269
senate,LA,0.874958,1.119023
senate,ME,1.119262,0.886479
senate,MD,1.159918,0.847779
senate,MA,1.286585,0.727210
senate,MI,1.060673,0.942247
senate,MN,1.061392,0.941563
senate,MS,0.830377,1.161458
senate,MO,0.951059,1.046585
senate,MT,0.809973,1.180881
senate,NE,0.679818,1.304771
senate,NV,0.998266,1.001651
senate,NH,1.039439,0.962460
senate,NJ,1.094399,0.910145
senate,NM,1.017075,0.983747
senate,NY,1.226850,0.784069
senate,NC,0.897288,1.097768
senate,ND,0.740063,1.247425
senate,OH,1.003573,0.996599
senate,OK,0.706002,1.279847
senate,OR,1.068523,0.934776
senate,PA,1.051086,0.951373
senate,RI,1.242183,0.769474
senate,SC,0.848187,1.144505
senate,SD,0.801499,1.188946
senate,TN,0.877941,1.116184
senate,TX,0.789259,1.200597
senate,UT,0.546549,1.431625
senate,VT,1.236513,0.774871
senate,VA,0.940520,1.056617
senate,WA,1.100058,0.904758
senate,WV,0.892413,1.102409
senate,WI,1.029217,0.972190
senate,WY,0.608758,1.372410
governor,AL,0.760806,1.227681
governor,AK,0.754070,1.234093
governor,AZ,0.917116,1.078894
governor,AR,0.924073,1.072272
governor,CA,1.128659,0.877533
governor,CO,0.976763,1.022119
governor,CT,1.133450,0.872973
governor,DE,1.103851,0.901147
governor,DC,1.856179,0.185032
governor,FL,0.973534,1.025192
governor,GA,0.853975,1.138997
governor,HI,1.115600,0.889964
governor,ID,0.629058,1.353087
governor,IL,1.132090,0.874268
governor,IN,0.811543,1.179386
governor,IA,1.018380,0.982505
governor,KS,0.761435,1.227082
governor,KY,0.820071,1.171269
governor,LA,0.874958,1.119023
governor,ME,1.119262,0.886479
governor,MD,1.159918,0.847779
governor,MA,1.286585,0.727210
governor,MI,1.060673,0.942247
governor,MN,1.061392,0.941563
governor,MS,0.830377,1.161458
governor,MO,0.951059,1.046585
governor,MT,0.809973,1.180881
governor,NE,0.679818,1.304771
governor,NV,0.998266,1.001651
governor,NH,1.039439,0.962460
governor,NJ,1.094399,0.910145
governor,NM,1.017075,0.983747
governor,NY,1.226850,0.784069
governor,NC,0.897288,1.097768
governor,ND,0.740063,1.247425
governor,OH,1.003573,0.996599
governor,OK,0.706002,1.279847
governor,OR,1.068523,0.934776
governor,PA,1.051086,0.951373
governor,RI,1.242183,0.769474
governor,SC,0.848187,1.144505
governor,SD,0.801499,1.188946
governor,TN,0.877941,1.116184
governor,TX,0.789259,1.200597
governor,UT,0.546549,1.431625
governor,VT,1.236513,0.774871
governor,VA,0.940520,1.056617
governor,WA,1.100058,0.904758
governor,WV,0.892413,1.102409
governor,WI,1.029217,0.972190
governor,WY,0.608758,1.372410
