mode,state,date,dem,rep,pollster,sigma
governor,IN,2016-10-12,50.0,38.0,Monmouth University Polling Institute,3
governor,IN,2016-10-23,42.0,38.0,Gravis Marketing,3
governor,IN,2016-10-29,48.0,42.0,Monmouth University Polling Institute,3
governor,IN,2016-10-31,42.0,38.0,Gravis Marketing,3
governor,MO,2016-09-12,49.0,41.0,Gravis Marketing,3
governor,MO,2016-09-19,47.0,38.0,Remington Research Group,3
governor,MO,2016-09-26,51.0,35.0,Remington Research Group,3
governor,MO,2016-10-04,44.0,41.0,Remington Research Group,3
governor,MO,2016-10-10,46.0,43.0,Monmouth University Polling Institute,3
governor,MO,2016-10-10,48.0,42.0,Remington Research Group,3
governor,MO,2016-10-24,47.0,45.0,Remington Research Group,3
governor,MO,2016-10-25,46.0,45.0,Mason-Dixon Polling & Strategy,3
governor,MO,2016-10-30,46.0,46.0,Monmouth University Polling Institute,3
governor,MO,2016-10-31,45.0,46.0,Remington Research Group,3
governor,MO,2016-11-01,47.0,44.0,Public Policy Polling,3
governor,MT,2016-10-11,47.0,45.0,Mason-Dixon Polling & Strategy,3
governor,NC,2016-09-11,43.0,45.0,National Research,3
governor,NC,2016-09-18,50.0,42.0,The New York Times/Siena College,3
governor,NC,2016-09-19,46.0,41.0,Public Policy Polling,3
governor,NC,2016-09-19,43.0,46.0,Beacon Research/Shaw & Co. Research,3
governor,NC,2016-09-27,45.0,42.0,Public Policy Polling,3
governor,NC,2016-09-29,48.0,46.0,Quinnipiac University,3
governor,NC,2016-10-01,50.0,44.0,Selzer & Co.,3
governor,NC,2016-10-01,48.0,44.0,SurveyUSA,3
governor,NC,2016-10-11,49.0,48.0,Marist College,3
governor,NC,2016-10-12,49.0,48.0,Big Village,3
governor,NC,2016-10-12,47.0,45.0,Ipsos,3
governor,NC,2016-10-16,47.0,45.0,SurveyUSA,3
governor,NC,2016-10-16,42.0,46.0,National Research,3
governor,NC,2016-10-21,46.0,44.0,Public Policy Polling,3
governor,NC,2016-10-22,47.0,48.0,Monmouth University Polling Institute,3
governor,NC,2016-10-22,51.0,45.0,The New York Times/Siena College,3
governor,NC,2016-10-23,49.0,47.0,Quinnipiac University,3
governor,NC,2016-10-25,51.0,45.0,Marist College,3
governor,NC,2016-10-27,46.0,44.0,YouGov,3
governor,NC,2016-10-29,49.0,47.0,Quinnipiac University,3
governor,NC,2016-10-30,48.0,47.0,SurveyUSA,3
governor,NC,2016-11-05,47.0,46.0,The New York Times/Siena College,3
governor,NC,2016-11-05,50.0,47.0,Quinnipiac University,3
governor,NH,2016-09-19,43.0,49.0,Monmouth University Polling Institute,3
governor,NH,2016-09-22,44.0,45.0,American Research Group,3
governor,NH,2016-09-28,44.0,47.0,MassINC Polling Group,3
governor,NH,2016-10-04,36.0,40.0,Suffolk University,3
