cd,h_cd
1,0.0669
2,0.0642
3,0.1064
4,0.0782
5,0.1086
6,0.0978
7,0.1897
8,0.1424
9,0.3639
10,0.3041
11,0.1982
12,0.2481
13,0.1028
14,0.2602
15,0.1495
16,0.1291
17,0.1100
18,0.2492
19,0.1892
20,0.2326
21,0.1507
22,0.3099
23,0.2590
24,0.4092
25,0.2774
26,0.7427
27,0.7428
28,0.7325
