cd,h_cd
1,0.0669
2,0.0642
3,0.1064
4,0.0782
5,0.1086
6,0.0978
7,0.1897
8,0.1005
9,0.5004
10,0.2863
11,0.1709
12,0.1172
13,0.0956
14,0.2597
15,0.2274
16,0.1867
17,0.1154
18,0.2368
19,0.1622
20,0.2298
21,0.1514
22,0.2465
23,0.2051
24,0.3846
25,0.4226
26,0.7322
27,0.7418
28,0.7335
